id,curr_time,currency,instrument_name,expiry_datetime,strike,option_type,underlying_price,delta,mark_iv,bid_price,ask_price,mark_price,open_interest,volume
117,2026-03-21T15:26:41.613059+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2151.3473,0.2301,33.73,,,0.0019,1137.0,863.0
118,2026-03-21T15:26:41.613059+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2151.3473,0.52067,32.14,,,0.0059,2495.0,546.0
119,2026-03-21T15:26:41.613059+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2151.5985,-0.19059,32.95,,,0.0015,7362.0,7963.0
120,2026-03-21T15:26:46.613602+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70612.7337,0.31453,25.75,,,0.0023,84.9,88.0
121,2026-03-21T15:26:46.613602+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70620.5164,0.56564,24.57,,,0.0052,222.6,183.4
122,2026-03-21T15:26:46.613602+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70624.1929,-0.21973,26.62,,,0.0015,561.6,252.9
123,2026-03-21T15:26:46.613602+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2151.7997,0.23448,33.73,,,0.002,1137.0,863.0
124,2026-03-21T15:26:46.613602+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2151.7997,0.52666,32.14,,,0.006,2495.0,546.0
125,2026-03-21T15:26:46.613602+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2151.9109,-0.18787,32.95,,,0.0015,7362.0,7963.0
126,2026-03-21T15:26:51.614448+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70624.5503,0.31984,25.75,,,0.0023,84.9,88.0
127,2026-03-21T15:26:51.614448+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70624.5503,0.56774,24.57,,,0.0052,222.6,183.4
128,2026-03-21T15:26:51.614448+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70625.3962,-0.21932,26.62,,,0.0015,561.6,252.9
129,2026-03-21T15:26:51.614448+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.0721,0.23712,33.73,,,0.002,1137.0,863.0
130,2026-03-21T15:26:51.614448+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.0721,0.53027,32.14,,,0.0061,2495.0,546.0
131,2026-03-21T15:26:51.614448+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.0821,-0.18642,32.96,,,0.0015,7362.0,7963.0
132,2026-03-21T15:26:56.6142+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70627.8067,0.32131,25.75,,,0.0023,84.9,88.0
133,2026-03-21T15:26:56.6142+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70627.8067,0.56943,24.57,,,0.0052,222.6,183.4
134,2026-03-21T15:26:56.6142+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70633.9341,-0.21626,26.62,,,0.0014,561.6,252.9
135,2026-03-21T15:26:56.6142+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.2121,0.23848,33.72,,,0.002,1137.0,863.0
136,2026-03-21T15:26:56.6142+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.2121,0.53212,32.14,,,0.0061,2495.0,546.0
137,2026-03-21T15:26:56.6142+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.2521,-0.18498,32.96,,,0.0015,7362.0,7963.0
138,2026-03-21T15:27:01.705271+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70633.9341,0.32406,25.74,,,0.0024,84.9,88.0
139,2026-03-21T15:27:01.705271+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70635.9997,0.57368,24.58,,,0.0053,222.6,183.4
140,2026-03-21T15:27:01.705271+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70639.051,-0.21445,26.62,,,0.0014,561.6,252.9
141,2026-03-21T15:27:01.705271+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.3033,0.23936,33.72,,,0.002,1137.0,863.0
142,2026-03-21T15:27:01.705271+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.3033,0.53333,32.13,,,0.0061,2495.0,546.0
143,2026-03-21T15:27:01.705271+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.2933,-0.18468,32.97,,,0.0015,7362.0,7963.0
144,2026-03-21T15:27:06.777819+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70639.4774,0.32655,25.74,,,0.0024,84.9,88.0
145,2026-03-21T15:27:06.777819+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70639.4774,0.57548,24.58,,,0.0053,222.6,183.4
146,2026-03-21T15:27:06.777819+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70639.7051,-0.21423,26.63,,,0.0014,561.6,252.9
147,2026-03-21T15:27:06.777819+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.3045,0.23935,33.72,,,0.002,1137.0,863.0
148,2026-03-21T15:27:06.777819+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.3045,0.53335,32.13,,,0.0061,2495.0,546.0
149,2026-03-21T15:27:06.777819+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.3045,-0.18462,32.98,,,0.0014,7362.0,7963.0
150,2026-03-21T15:27:11.862843+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70644.3664,0.32876,25.73,,,0.0024,84.9,88.0
151,2026-03-21T15:27:11.862843+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70644.3664,0.57803,24.57,,,0.0054,222.6,183.4
152,2026-03-21T15:27:11.862843+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70644.3664,-0.21261,26.63,,,0.0014,561.6,252.9
153,2026-03-21T15:27:11.862843+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.3045,0.23933,33.71,,,0.0021,1137.0,863.0
154,2026-03-21T15:27:11.862843+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.6045,0.53732,32.13,,,0.0062,2495.0,546.0
155,2026-03-21T15:27:11.862843+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.6745,-0.18148,32.98,,,0.0014,7362.0,7963.0
156,2026-03-21T15:27:17.01111+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70644.7883,0.32891,25.73,,,0.0024,84.9,88.0
157,2026-03-21T15:27:17.01111+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70644.4775,0.57811,24.57,,,0.0054,222.6,183.4
158,2026-03-21T15:27:17.01111+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70644.4775,-0.21259,26.63,,,0.0014,561.6,252.9
159,2026-03-21T15:27:17.01111+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.7357,0.24355,33.71,,,0.0021,1137.0,863.0
160,2026-03-21T15:27:17.01111+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.7657,0.53945,32.12,,,0.0062,2495.0,546.0
161,2026-03-21T15:27:17.01111+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.7857,-0.18056,32.99,,,0.0014,7362.0,7963.0
162,2026-03-21T15:27:22.014534+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70652.3254,0.33234,25.72,,,0.0024,84.9,88.0
163,2026-03-21T15:27:22.014534+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70650.3966,0.58118,24.57,,,0.0054,222.6,183.4
164,2026-03-21T15:27:22.014534+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70650.6931,-0.2104,26.63,,,0.0014,561.6,252.9
165,2026-03-21T15:27:22.014534+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.7357,0.24352,33.7,,,0.0021,1137.0,863.0
166,2026-03-21T15:27:22.014534+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.7857,0.53973,32.11,,,0.0062,2495.0,546.0
167,2026-03-21T15:27:22.014534+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.8544,-0.18,32.99,,,0.0014,7362.0,7963.0
168,2026-03-21T15:27:27.011303+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70654.7007,0.3334,25.72,,,0.0024,84.9,88.0
169,2026-03-21T15:27:27.011303+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70654.7007,0.58342,24.56,,,0.0054,222.6,183.4
170,2026-03-21T15:27:27.011303+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70654.4024,-0.20911,26.64,,,0.0014,561.6,252.9
171,2026-03-21T15:27:27.011303+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.7944,0.24407,33.7,,,0.0021,1137.0,863.0
172,2026-03-21T15:27:27.011303+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.7944,0.53985,32.11,,,0.0062,2495.0,546.0
173,2026-03-21T15:27:27.011303+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.7844,-0.18062,32.99,,,0.0014,7362.0,7963.0
174,2026-03-21T15:27:32.0118+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70652.2698,0.33218,25.71,,,0.0024,84.9,88.0
175,2026-03-21T15:27:32.0118+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70650.8382,0.58148,24.56,,,0.0054,222.6,183.4
176,2026-03-21T15:27:32.0118+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70647.3197,-0.21151,26.64,,,0.0014,561.6,252.9
177,2026-03-21T15:27:32.0118+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.6532,0.24253,33.69,,,0.0021,1137.0,863.0
178,2026-03-21T15:27:32.0118+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.6532,0.53801,32.1,,,0.0062,2495.0,546.0
179,2026-03-21T15:27:32.0118+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.482,-0.18311,33.0,,,0.0014,7362.0,7963.0
180,2026-03-21T15:27:37.011668+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70647.2414,0.32985,25.71,,,0.0024,84.9,88.0
181,2026-03-21T15:27:37.011668+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70649.5861,0.58085,24.55,,,0.0054,222.6,183.4
182,2026-03-21T15:27:37.011668+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70649.5844,-0.21073,26.64,,,0.0014,561.6,252.9
183,2026-03-21T15:27:37.011668+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.6932,0.2429,33.69,,,0.0021,1137.0,863.0
184,2026-03-21T15:27:37.011668+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.6932,0.53854,32.1,,,0.0062,2495.0,546.0
185,2026-03-21T15:27:37.011668+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.5332,-0.1827,33.0,,,0.0014,7362.0,7963.0
186,2026-03-21T15:27:42.011606+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70649.4216,0.33083,25.71,,,0.0024,84.9,88.0
187,2026-03-21T15:27:42.011606+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70649.5474,0.58084,24.55,,,0.0054,222.6,183.4
188,2026-03-21T15:27:42.011606+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70649.2978,-0.21085,26.64,,,0.0014,561.6,252.9
189,2026-03-21T15:27:42.011606+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.5332,0.24129,33.69,,,0.0021,1137.0,863.0
190,2026-03-21T15:27:42.011606+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.5332,0.53642,32.09,,,0.0062,2495.0,546.0
191,2026-03-21T15:27:42.011606+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.5431,-0.18265,33.0,,,0.0014,7362.0,7963.0
192,2026-03-21T15:27:47.011901+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70649.271,0.33074,25.7,,,0.0024,84.9,88.0
193,2026-03-21T15:27:47.011901+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70649.271,0.58071,24.54,,,0.0054,222.6,183.4
194,2026-03-21T15:27:47.011901+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70649.8932,-0.21066,26.65,,,0.0014,561.6,252.9
195,2026-03-21T15:27:47.011901+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.5431,0.24136,33.68,,,0.0021,1137.0,863.0
196,2026-03-21T15:27:47.011901+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.5431,0.53656,32.09,,,0.0062,2495.0,546.0
197,2026-03-21T15:27:47.011901+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.6131,-0.18208,33.01,,,0.0014,7362.0,7963.0
198,2026-03-21T15:27:52.112552+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70649.8052,0.33096,25.7,,,0.0024,84.9,88.0
199,2026-03-21T15:27:52.112552+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70649.8052,0.581,24.54,,,0.0054,222.6,183.4
200,2026-03-21T15:27:52.112552+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70649.7296,-0.21074,26.65,,,0.0014,561.6,252.9
201,2026-03-21T15:27:52.112552+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.6131,0.24203,33.68,,,0.0021,1137.0,863.0
202,2026-03-21T15:27:52.112552+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.6019,0.53733,32.09,,,0.0062,2495.0,546.0
203,2026-03-21T15:27:52.112552+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.6019,-0.1822,33.01,,,0.0014,7362.0,7963.0
204,2026-03-21T15:27:57.113407+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70649.4958,0.3308,25.7,,,0.0024,84.9,88.0
205,2026-03-21T15:27:57.113407+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70649.4958,0.58086,24.53,,,0.0054,222.6,183.4
206,2026-03-21T15:27:57.113407+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70649.4666,-0.21085,26.65,,,0.0014,561.6,252.9
207,2026-03-21T15:27:57.113407+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.6019,0.24189,33.68,,,0.0021,1137.0,863.0
208,2026-03-21T15:27:57.113407+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.6019,0.53733,32.09,,,0.0062,2495.0,546.0
209,2026-03-21T15:27:57.113407+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.6019,-0.18223,33.02,,,0.0014,7362.0,7963.0
210,2026-03-21T15:28:02.141007+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70649.4464,0.33075,25.69,,,0.0024,84.9,88.0
211,2026-03-21T15:28:02.141007+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70649.4665,0.58086,24.53,,,0.0054,222.6,183.4
212,2026-03-21T15:28:02.141007+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70649.433,-0.21087,26.65,,,0.0014,561.6,252.9
213,2026-03-21T15:28:02.141007+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.6107,0.24195,33.67,,,0.0021,1137.0,863.0
214,2026-03-21T15:28:02.141007+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.6107,0.53745,32.09,,,0.0062,2495.0,546.0
215,2026-03-21T15:28:02.141007+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.6107,-0.18219,33.02,,,0.0014,7362.0,7963.0
216,2026-03-21T15:28:07.141269+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70648.7553,0.33042,25.69,,,0.0024,84.9,88.0
217,2026-03-21T15:28:07.141269+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70648.7553,0.58051,24.52,,,0.0054,222.6,183.4
218,2026-03-21T15:28:07.141269+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70648.3245,-0.21126,26.65,,,0.0014,561.6,252.9
219,2026-03-21T15:28:07.141269+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.5694,0.24152,33.67,,,0.0021,1137.0,863.0
220,2026-03-21T15:28:07.141269+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.5694,0.53691,32.09,,,0.0062,2495.0,546.0
221,2026-03-21T15:28:07.141269+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.5694,-0.18257,33.03,,,0.0014,7362.0,7963.0
222,2026-03-21T15:28:12.278835+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70648.299,0.33019,25.69,,,0.0024,84.9,88.0
223,2026-03-21T15:28:12.278835+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70648.3245,0.5803,24.52,,,0.0054,222.6,183.4
224,2026-03-21T15:28:12.278835+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70648.4219,-0.21123,26.65,,,0.0014,561.6,252.9
225,2026-03-21T15:28:12.278835+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.5406,0.24121,33.66,,,0.0021,1137.0,863.0
226,2026-03-21T15:28:12.278835+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.5406,0.53653,32.09,,,0.0062,2495.0,546.0
227,2026-03-21T15:28:12.278835+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.5406,-0.18285,33.03,,,0.0014,7362.0,7963.0
228,2026-03-21T15:28:17.340663+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70648.792,0.3304,25.69,,,0.0024,84.9,88.0
