id,curr_time,coin,time_horizon_minutes,interval_start_unix,market_slug,condition_id,strike_price,end_date,liquidity,volume,open_interest,yes_implied_price,no_implied_price,yes_buy_price,yes_sell_price,no_buy_price,no_sell_price
327,2026-03-21T11:30:53.54102+00:00,ETH,15,1774092600,eth-updown-15m-1774092600,0x798f9dfc5a48462aac05db1b06ceaf456fe2c373aec7890cb0afd7c03654e51a,2155.81,2026-03-21T11:45:00+00:00,37172.207,116.250407,,0.505,0.495,0.41,0.42,0.58,0.59
328,2026-03-21T11:30:53.54102+00:00,XRP,15,1774092600,xrp-updown-15m-1774092600,0x73c7e880f356f15e16dc7f1a9ed9bd1ebb4ce42a88747a7de25c8dd084ed30e3,1.4404,2026-03-21T11:45:00+00:00,32423.8453,35.0,,0.495,0.505,0.51,0.52,0.48,0.49
329,2026-03-21T11:30:53.54102+00:00,SOL,15,1774092600,sol-updown-15m-1774092600,0x2c81b3d3a4e355a37c1799760535de78bddc385e108ed25e548da611dacc1039,90.12,2026-03-21T11:45:00+00:00,31440.6139,253.150522,,0.46,0.54,0.39,0.41,0.59,0.61
330,2026-03-21T11:30:54.558116+00:00,BTC,15,1774092600,btc-updown-15m-1774092600,0xb657f73a26ed8645cb1912277e187e54d36d97bd08126269b17b00b6d6ed2578,70602.71,2026-03-21T11:45:00+00:00,46698.2652,350.49799000000013,,0.49,0.51,0.39,0.4,0.6,0.61
331,2026-03-21T11:30:54.558116+00:00,ETH,15,1774092600,eth-updown-15m-1774092600,0x798f9dfc5a48462aac05db1b06ceaf456fe2c373aec7890cb0afd7c03654e51a,2155.81,2026-03-21T11:45:00+00:00,37172.207,116.250407,,0.505,0.495,0.41,0.42,0.58,0.59
332,2026-03-21T11:30:54.558116+00:00,XRP,15,1774092600,xrp-updown-15m-1774092600,0x73c7e880f356f15e16dc7f1a9ed9bd1ebb4ce42a88747a7de25c8dd084ed30e3,1.4404,2026-03-21T11:45:00+00:00,32423.8453,35.0,,0.495,0.505,0.51,0.52,0.48,0.49
333,2026-03-21T11:30:54.558116+00:00,SOL,15,1774092600,sol-updown-15m-1774092600,0x2c81b3d3a4e355a37c1799760535de78bddc385e108ed25e548da611dacc1039,90.12,2026-03-21T11:45:00+00:00,31440.6139,253.150522,,0.46,0.54,0.39,0.41,0.59,0.61
334,2026-03-21T11:30:55.559757+00:00,BTC,15,1774092600,btc-updown-15m-1774092600,0xb657f73a26ed8645cb1912277e187e54d36d97bd08126269b17b00b6d6ed2578,70602.71,2026-03-21T11:45:00+00:00,46698.2652,350.49799000000013,,0.49,0.51,0.39,0.4,0.6,0.61
335,2026-03-21T11:30:55.559757+00:00,ETH,15,1774092600,eth-updown-15m-1774092600,0x798f9dfc5a48462aac05db1b06ceaf456fe2c373aec7890cb0afd7c03654e51a,2155.81,2026-03-21T11:45:00+00:00,37172.207,116.250407,,0.505,0.495,0.41,0.42,0.58,0.59
336,2026-03-21T11:30:55.559757+00:00,XRP,15,1774092600,xrp-updown-15m-1774092600,0x73c7e880f356f15e16dc7f1a9ed9bd1ebb4ce42a88747a7de25c8dd084ed30e3,1.4404,2026-03-21T11:45:00+00:00,32423.8453,35.0,,0.495,0.505,0.51,0.52,0.48,0.49
337,2026-03-21T11:30:55.559757+00:00,SOL,15,1774092600,sol-updown-15m-1774092600,0x2c81b3d3a4e355a37c1799760535de78bddc385e108ed25e548da611dacc1039,90.12,2026-03-21T11:45:00+00:00,31440.6139,253.150522,,0.46,0.54,0.39,0.41,0.59,0.61
338,2026-03-21T11:30:56.560747+00:00,BTC,15,1774092600,btc-updown-15m-1774092600,0xb657f73a26ed8645cb1912277e187e54d36d97bd08126269b17b00b6d6ed2578,70602.71,2026-03-21T11:45:00+00:00,46698.2652,350.49799000000013,,0.49,0.51,0.47,0.48,0.52,0.53
339,2026-03-21T11:30:56.560747+00:00,ETH,15,1774092600,eth-updown-15m-1774092600,0x798f9dfc5a48462aac05db1b06ceaf456fe2c373aec7890cb0afd7c03654e51a,2155.81,2026-03-21T11:45:00+00:00,37172.207,116.250407,,0.505,0.495,0.42,0.43,0.57,0.58
340,2026-03-21T11:30:56.560747+00:00,XRP,15,1774092600,xrp-updown-15m-1774092600,0x73c7e880f356f15e16dc7f1a9ed9bd1ebb4ce42a88747a7de25c8dd084ed30e3,1.4404,2026-03-21T11:45:00+00:00,32423.8453,35.0,,0.495,0.505,0.51,0.52,0.48,0.49
341,2026-03-21T11:30:56.560747+00:00,SOL,15,1774092600,sol-updown-15m-1774092600,0x2c81b3d3a4e355a37c1799760535de78bddc385e108ed25e548da611dacc1039,90.12,2026-03-21T11:45:00+00:00,31440.6139,253.150522,,0.46,0.54,0.4,0.41,0.59,0.6
342,2026-03-21T11:30:57.561676+00:00,BTC,15,1774092600,btc-updown-15m-1774092600,0xb657f73a26ed8645cb1912277e187e54d36d97bd08126269b17b00b6d6ed2578,70602.71,2026-03-21T11:45:00+00:00,46698.2652,350.49799000000013,,0.49,0.51,0.49,0.5,0.5,0.51
343,2026-03-21T11:30:57.561676+00:00,ETH,15,1774092600,eth-updown-15m-1774092600,0x798f9dfc5a48462aac05db1b06ceaf456fe2c373aec7890cb0afd7c03654e51a,2155.81,2026-03-21T11:45:00+00:00,37172.207,116.250407,,0.505,0.495,0.42,0.43,0.57,0.58
344,2026-03-21T11:30:57.561676+00:00,XRP,15,1774092600,xrp-updown-15m-1774092600,0x73c7e880f356f15e16dc7f1a9ed9bd1ebb4ce42a88747a7de25c8dd084ed30e3,1.4404,2026-03-21T11:45:00+00:00,32423.8453,35.0,,0.495,0.505,0.51,0.52,0.48,0.49
345,2026-03-21T11:30:57.561676+00:00,SOL,15,1774092600,sol-updown-15m-1774092600,0x2c81b3d3a4e355a37c1799760535de78bddc385e108ed25e548da611dacc1039,90.12,2026-03-21T11:45:00+00:00,31440.6139,253.150522,,0.46,0.54,0.4,0.41,0.59,0.6
346,2026-03-21T11:30:58.562933+00:00,BTC,15,1774092600,btc-updown-15m-1774092600,0xb657f73a26ed8645cb1912277e187e54d36d97bd08126269b17b00b6d6ed2578,70602.71,2026-03-21T11:45:00+00:00,46698.2652,350.49799000000013,,0.49,0.51,0.49,0.5,0.5,0.51
347,2026-03-21T11:30:58.562933+00:00,ETH,15,1774092600,eth-updown-15m-1774092600,0x798f9dfc5a48462aac05db1b06ceaf456fe2c373aec7890cb0afd7c03654e51a,2155.81,2026-03-21T11:45:00+00:00,37172.207,116.250407,,0.505,0.495,0.42,0.43,0.57,0.58
348,2026-03-21T11:30:58.562933+00:00,XRP,15,1774092600,xrp-updown-15m-1774092600,0x73c7e880f356f15e16dc7f1a9ed9bd1ebb4ce42a88747a7de25c8dd084ed30e3,1.4404,2026-03-21T11:45:00+00:00,32423.8453,35.0,,0.495,0.505,0.51,0.52,0.48,0.49
349,2026-03-21T11:30:58.562933+00:00,SOL,15,1774092600,sol-updown-15m-1774092600,0x2c81b3d3a4e355a37c1799760535de78bddc385e108ed25e548da611dacc1039,90.12,2026-03-21T11:45:00+00:00,31440.6139,253.150522,,0.46,0.54,0.39,0.41,0.59,0.61
