id,curr_time,coin,open_time,close_time,last_price_dollars,liquidity_dollars,no_ask_dollars,no_bid_dollars,yes_ask_dollars,yes_bid_dollars,open_interest,floor_strike,cap_strike,strike_type,volume,volume_24h_fp
232,2026-03-21T14:09:50.183163+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
233,2026-03-21T14:09:50.183163+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
234,2026-03-21T14:09:51.328132+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
235,2026-03-21T14:09:51.328132+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.922,0.0,0.08,0.078,0.922,0.92,,2155.45,,greater_or_equal,,26.0
236,2026-03-21T14:09:51.328132+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
237,2026-03-21T14:09:51.328132+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
238,2026-03-21T14:09:52.329336+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
239,2026-03-21T14:09:52.329336+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
240,2026-03-21T14:09:52.329336+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
241,2026-03-21T14:09:52.329336+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
242,2026-03-21T14:09:53.330132+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
243,2026-03-21T14:09:53.330132+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
244,2026-03-21T14:09:53.330132+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
245,2026-03-21T14:09:53.330132+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
246,2026-03-21T14:09:54.330902+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
247,2026-03-21T14:09:54.330902+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
248,2026-03-21T14:09:54.330902+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
249,2026-03-21T14:09:54.330902+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
250,2026-03-21T14:09:55.463813+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
251,2026-03-21T14:09:55.463813+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
252,2026-03-21T14:09:55.463813+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
253,2026-03-21T14:09:55.463813+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
254,2026-03-21T14:09:56.466006+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
255,2026-03-21T14:09:56.466006+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
256,2026-03-21T14:09:56.466006+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
257,2026-03-21T14:09:56.466006+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
258,2026-03-21T14:09:57.466619+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
259,2026-03-21T14:09:57.466619+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
260,2026-03-21T14:09:57.466619+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
261,2026-03-21T14:09:57.466619+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
262,2026-03-21T14:09:58.467869+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
263,2026-03-21T14:09:58.467869+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
264,2026-03-21T14:09:58.467869+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
265,2026-03-21T14:09:58.467869+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
266,2026-03-21T14:09:59.468648+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
267,2026-03-21T14:09:59.468648+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
268,2026-03-21T14:09:59.468648+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
269,2026-03-21T14:09:59.468648+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.56,0.0,0.43,0.4,0.6,0.57,,90.0243,,greater_or_equal,,8.0
270,2026-03-21T14:10:00.624979+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
271,2026-03-21T14:10:00.624979+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
272,2026-03-21T14:10:00.624979+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
273,2026-03-21T14:10:00.624979+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
274,2026-03-21T14:10:01.625817+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
